時刻,EventID,イベント種別,分類,対象,対象種別,対象種別備考,プロセス名,プロセスID,ユーザー,アクセス内容,HandleId,RecordId
2026-07-20 06:58:15.601366,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5fc0,3914359
2026-07-20 06:58:15.601770,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x6654,3914362
2026-07-20 06:58:15.601842,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x6654,3914363
2026-07-20 06:58:16.115393,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest\Source,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5600,3914870
2026-07-20 06:58:16.115397,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest\Source,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5600,3914871
2026-07-20 06:58:16.115398,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest\Source,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5600,3914872
2026-07-20 06:58:16.952080,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5450,3914875
2026-07-20 06:58:16.952083,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5450,3914876
2026-07-20 06:58:16.952102,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5450,3914877
2026-07-20 06:58:16.953309,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x686c,3914880
2026-07-20 06:58:16.953312,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x686c,3914881
2026-07-20 06:58:16.953313,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x686c,3914882
2026-07-20 06:58:17.543538,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest\delete_folder_complete,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x64e4,3914885
2026-07-20 06:58:17.543542,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest\delete_folder_complete,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x64e4,3914886
2026-07-20 06:58:17.543579,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest\delete_folder_complete,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x64e4,3914887
2026-07-20 06:58:17.544673,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5fc0,3914888
